Tên doanh nghiệp,Tên giao dịch,Mã số thuế,Địa chỉ,Tình trạng hoạt động,Ngày cấp giấy phép,Ngành nghề kinh doanh,Link
CÔNG TY TNHH VẢI ĐẸP VÀ THỜI TRANG ĐỨC LIÊN,,111104847,"LK 2-45 Tuấn Dung, Thôn 9, Xã Ninh Hiệp, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vai-Dep-Va-Thoi-Trang-Duc-Lien-04847.html
CÔNG TY TNHH SHINGOLD VIỆT NAM,"SHINGOLD VIET NAM CO.,LTD",111104565,"Thôn Tăng Non, Xã Thanh Đa, Huyện Phúc Thọ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Shingold-Viet-Nam-04565.html
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ NHẬP KHẨU HƯNG THỊNH PHÁT,NHẬP KHẨU HƯNG THỊNH PHÁT,111105262,"Số 47 Phố Ba Hàng Mai, Xã Thanh Mai, Huyện Thanh Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Thuong-Mai-Va-Nhap-Khau-Hung-Thinh-Phat-05262.html
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MAI HỒNG ÁNH,,111105424,"Thôn Rùa Hạ, Xã Thanh Thùy, Huyện Thanh Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Gia công cơ khí; xử lý và tráng phủ kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Thuong-Mai-Mai-Hong-Anh-05424.html
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI FKG,"FKG TRADING DEVELOPMENT CO.,LTD",111105304,"Số 68, Liền kề 23, Khu đô thị mới Vân Canh, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Phat-Trien-Thuong-Mai-Fkg-05304.html
CÔNG TY TNHH TƯƠNG LAI MACHINERY,"TL MACHINERY CO., LTD",111105110,"A47Register01, Tầng 3 tòa nhà The Sun, đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tuong-Lai-Machinery-05110.html
CÔNG TY TNHH ANDI GLOBAL,"ANDI GLOBAL CO., LTD",111104212,"Phòng 701, Tầng 7, số 19 Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Andi-Global-04212.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHƯƠNG KHANG,,111104170,"Số 34b, Ngách 5, Ngõ 67 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Dịch vụ lưu trú ngắn ngày,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Phuong-Khang-04170.html
CÔNG TY TNHH THÉP HƯNG THỊNH QKL,"HUNG THINH QKL STEEL CO., LTD",111104195,"SỐ118 Đường Nam Đuống, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Bán buôn kim loại và quặng kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thep-Hung-Thinh-Qkl-04195.html
CÔNG TY TNHH HALONG GEAR,,111104188,"Số nhà 3 ngách 6 ngõ 94 phố Vo Trung, Tổ 7, Phường Phúc Lợi, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Halong-Gear-04188.html
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI LÂM TÚ,"LAM TU PRODUCTION AND TRADING., LTD",111104205,"SỐ01 ngách 01 ngõ 70,tổ2 phố Thạch cầu, Phường Long Biên, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,"Sản xuất giường, tủ, bàn, ghế",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Thuong-Mai-Lam-Tu-04205.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HUONG BA,"HUONG BA TRADING AND SERVICE CO., LTD",111104237,"Số 4 Ngách 26 Ngõ 1 Phố Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,"Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Huong-Ba-04237.html
CÔNG TY CỔ PHẦN VIETNIP MEDIA,VIETNIP MEDIA,111102977,"Số 96, Ngõ 35 Cát Linh, Phường Cát Linh, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,"Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Vietnip-Media-02977.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DI ĐỘNG MANGO,"MANGO MOBILE CO., LTD",111104734,"Số 185 Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Di-Dong-Mango-04734.html
CÔNG TY CỔ PHẦN QUẢN LÝ ĐẦU TƯ INNOUP,IIM,111102984,"Tầng 4,Tòa nhà VietTower, số 1 Phố Thái Hà, Phường Trung Liệt, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),24/06/2025,Hoạt động quản lý quỹ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Quan-Ly-Dau-Tu-Innoup-02984.html
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUÂN LÂM,"QUAN LAM ., JSC",111103106,"SỐ38 ngách 49, ngõ 63, đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,Xây dựng nhà để ở,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Xay-Dung-Va-Thuong-Mai-Quan-Lam-03106.html
CÔNG TY TNHH GRACELAND,,111103498,"Thôn Thanh Lũng, Xã Tiên Phong, Huyện Ba Vì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Graceland-03498.html
CÔNG TY TNHH THƯƠNG MẠI LƯƠNG TÂM,,111103508,"Thôn Yên Trường 2, Xã Trường Yên, Huyện Chương Mỹ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,Bán lẻ thực phẩm trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Luong-Tam-03508.html
CÔNG TY TNHH THỜI TRANG HIDOLI,,111103515,"Khu đấu giá Cát Hạ, Thôn Ngoại, Xã Tam Thuấn, Huyện Phúc Thọ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,May trang phục (trừ trang phục từ da lông thú),https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thoi-Trang-Hidoli-03515.html
CÔNG TY CỔ PHẦN FELIX NETWORK,FELIX NETWORK JSC,111102920,"Căn Shophouse SHB3-HH01B tòa nhà Anland 2, Khu đô thị Dương Nội, Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Felix-Network-02920.html
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI VÀ DỊCH VỤ ĐIỆN MÁY HTL,"HTL ELECTRONICS CO.,LTD",111103219,"Số 07 Đường Hòa Bình, Thôn Đống Chanh, Xã Minh Cường, Huyện Thường Tín, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),23/06/2025,"Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Kinh-Doanh-Thuong-Mai-Va-Dich-Vu-Dien-May-Htl-03219.html
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI HOA THẮNG,"HOA THANG IT CO.,LTD",111103201,"Thôn Tân Phong 1, Xã Phong Vân, Huyện Ba Vì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,"Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Va-Thuong-Mai-Hoa-Thang-03201.html
CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG BYC,,111103191,"Cụm 5, Xã Duyên Thái, Huyện Thường Tín, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Xây dựng nhà để ở,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Xay-Dung-Byc-03191.html
CÔNG TY TNHH TMDV TỔNG HỢP MINH LOAN LTP,,111103096,"Thôn 4, Xã Tam Hiệp, Huyện Phúc Thọ, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TMDV-Tong-Hop-Minh-Loan-Ltp-03096.html
CÔNG TY TNHH THƯƠNG MẠI SẮT THÉP THẾ NHẤT,"THENHAT ST CO., LTD.",111103071,"Số nhà 8 Ngõ 123, Đường Đê Hữu Hồng, Thôn Xâm Dương 2, Xã Ninh Sở, Huyện Thường Tín, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Bán buôn kim loại và quặng kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Sat-Thep-The-Nhat-03071.html
CÔNG TY TNHH VẬT LIỆU XÂY DỰNG NGUYÊN GIÁP,CÔNG TY TNHH VLXD NGUYÊN GIÁP,111102825,"Số 169 Đường Trâu Quỳ, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vat-Lieu-Xay-Dung-Nguyen-Giap-02825.html
CÔNG TY TNHH VINH THU ĐẠT,,111102913,"Số nhà 10, hẻm 485/15/9, ngách 485/7, ngõ 485, Xã Ninh Hiệp, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Bán buôn đồ uống,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vinh-Thu-Dat-02913.html
CÔNG TY CỔ PHẦN DREAM GREEN THIỆN NGỌC,"DREAM GREEN THIEN NGOC CO., JSC",111102871,"Tầng 3, tòa nhà Golden Field, 24 Nguyễn Cơ Thạch, Phường cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dream-Green-Thien-Ngoc-02871.html
CÔNG TY CỔ PHẦN SKILL UP ACADEMY,,111102832,"SB01.SP.02-30, đường SaoBiển 2, Khu đô thị Vinhomes Ocean Park, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Skill-Up-Academy-02832.html
CÔNG TY CỔ PHẦN ĐIỆN ẢNH VÀ CÔNG NGHỆ SỐ CDFILM,"CDFILM.,JSC",111102857,"Số 465 Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,"Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dien-Anh-Va-Cong-Nghe-So-Cdfilm-02857.html
CÔNG TY CỔ PHẦN SAO VÀNG GLOBAL,"SAO VANG GLOBAL ., JSC",111102906,"Tầng 26, Toà CEO, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Sao-Vang-Global-02906.html
CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI TRUNG HIẾU,"TRUNG HIEU TRANSPORTATION CO., LTD",111102896,"SỐ41 ngõ số 9 thôn Đổng Xuyên, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/06/2025,Vận tải hàng hóa bằng đường bộ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Van-Tai-Trung-Hieu-02896.html
CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG HIRUN VIỆT NAM,"HIRUN VIETNAM ENVIRONMENTAL TECHNOLOGY CO.,LTD",111100440,"Số 16, ngõ 60 Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/06/2025,,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Cong-Nghe-Moi-Truong-Hirun-Viet-Nam-00440.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TUẤN ĐẠT BP,,111099273,"Số 6C, ngách 299/39/3 đường Hoàng Mai, Tổ 27, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Tuan-Dat-Bp-99273.html
CÔNG TY TNHH XE MÁY XE ĐIỆN TUẤN SƠN,,111099322,"Số 5 ngõ 25 Phố Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán mô tô, xe máy",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xe-May-Xe-Dien-Tuan-Son-99322.html
CÔNG TY TNHH MTV DŨNG 183,"MTVDŨNG 183 CO.,LTD",111099266,"SỐ74 Đường Bình Minh, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Bán buôn đồ uống,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-MTV-Dung-183-99266.html
CÔNG TY TNHH XÂY DỰNG VÀ THIẾT BỊ CÔNG NGHỆ PHẠM GIA,,111099361,"Số 28, Ngõ 231 Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Lắp đặt hệ thống điện,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xay-Dung-Va-Thiet-Bi-Cong-Nghe-Pham-Gia-99361.html
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ SẢN XUẤT -NÔNG SẢN VIỆT -HÀ THUẬN,"HA THUAN- VIETNAMESE AGRICULTURAL PRODUCTS CO., LTD",111099160,"Khu 5, Xã Đại Thịnh, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Dich-Vu-Va-San-Xuat-Nong-San-Viet-Ha-Thuan-99160.html
CÔNG TY TNHH TRUYỀN THÔNG & THƯƠNG MẠI CHÂU ANH,,111098777,"Thôn 1, Hạ Lôi, Xã Mê Linh, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Truyen-Thong-Thuong-Mai-Chau-Anh-98777.html
CÔNG TY CỔ PHẦN G GOLD PROPERTY,,111099530,"Tầng 11, Tòa nhà Zen Tower, số 12 Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-G-Gold-Property-99530.html
CÔNG TY TNHH NGỌC BÁCH THẢO,"NGOC BACH THAO CO., LTD",111098537,"Số 212A Tổ 27A, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Ngoc-Bach-Thao-98537.html
CÔNG TY TNHH HỌC VIỆN TÁC ĐỘNG CỘT SỐNG VIỆT NAM,"SPINAL IMPACT VIET NAM ACADEMY CO.,LTD",111099629,"SỐ21, Ngách 94, Ngõ Tự Do, Phố Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Hoc-Vien-Tac-Dong-Cot-Song-Viet-Nam-99629.html
CÔNG TY TNHH AN AN PHARMA,"AN AN PHARMA CO., LTD",111099114,"Số nhà 17 phố Nguyễn Bỉnh Khiêm, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Sản xuất sản phẩm từ plastic,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-An-An-Pharma-99114.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH QUỐC TẾ ANH MINH,,111099234,"Số 2 phố Thịnh Yên, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Du-Lich-Quoc-Te-Anh-Minh-99234.html
CÔNG TY TNHH HOÀNG PHÚC AUTO,"HOANG PHUC AUTO CO.,LTD",111099259,"sốll Ngách 3/2 Ngõ 2 Tổ 55 Lãng Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Hoang-Phuc-Auto-99259.html
CÔNG TY TNHH XÂY DỰNG MAI THÀNH PHƯƠNG,,111098618,"SỐ51, Ngõ 322/90 đường Mỹ Đình, thôn Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Xây dựng công trình thủy,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xay-Dung-Mai-Thanh-Phuong-98618.html
CÔNG TY TNHH TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG BÁCH THẢO,,111098551,"Tầng 10 Tòa Suced Tower, số 108 Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tu-Van-Thiet-Ke-Va-Xay-Dung-Bach-Thao-98551.html
CÔNG TY TNHH CƠ KHÍ VÀ NỘI THẤT PHÚC GIA AN,,111097621,"Số 397 đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Co-Khi-Va-Noi-That-Phuc-Gia-An-97621.html
CÔNG TY TNHH TÔ'S ENGLISH CORNER,"TÔ’S ENGLISH CORNER CO., LTD",111098590,"Số 2 ngõ 106/4 đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tos-English-Corner-98590.html
CÔNG TY TNHH LTP MEDIA,LTP MEDIA,111097660,"Số 9, Ngách 15, Ngõ 406 đường Hồ Tùng Mậu, Phường cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Hoạt động phát hành phim điện ảnh, phim video và chương trình truyền hình",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Ltp-Media-97660.html
CÔNG TY TNHH XNK & TM AQUAGLOW,,111097646,"Số 12 ngõ 56 đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-XNK-TM-Aquaglow-97646.html
CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN THÁI FOODS,,111097614,"Số 196 đường Nguyễn Văn Giáp, Phường cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Xuat-Nhap-Khau-An-Thai-Foods-97614.html
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI QUỐC TẾ NINEPLUS,,111097565,"Số nhà 4c, ngõ 392, đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Hoạt động thiết kế chuyên dụng,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Va-Thuong-Mai-Quoc-Te-Nineplus-97565.html
CÔNG TY TRÁCH NHIỆM HỮU HẠN TÂM MINH HẢI,TAMIH,111097639,"Tầng 4, Sàn thương mại SH52, tòa nhà CT1B, Sốll9 đường K2, Phường cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Trach-Nhiem-Huu-Han-Tam-Minh-Hai-97639.html
CÔNG TY TNHH DỊCH VỤ HÀNG KHÔNG QUỐC TẾ THỊNH PHÁT,,111097597,"Số 08-BT12, Foresa 9A, khu đô thị sinh thái Foresa Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dich-Vu-Hang-Khong-Quoc-Te-Thinh-Phat-97597.html
CÔNG TY TNHH TƯ VẤN KỸ THUẬT INGENOR VIỆT NAM,"INGENOR VIETNAM TECHNICAL CONSULTING CO.,LTD",111095448,"Căn Shophouse ML6-28, Khu Vinhomes Green Bay, số 7 Đại Lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tu-Van-Ky-Thuat-Ingenor-Viet-Nam-95448.html
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VĂN THÁI,"VAN THAI GENTRA.,LLC",111097607,"Số 169 đường Phúc Diễn, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Tong-Hop-Van-Thai-97607.html
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ SẠCH VIỆT NAM,,111097766,"SỐ13, phố Thợ Nhuộm, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Trồng rau, đậu các loại và trồng hoa",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Dau-Tu-Phat-Trien-Cong-Nghe-Sach-Viet-Nam-97766.html
CÔNG TY TNHH ZICO VINA,"ZV LTD., CO",111097759,"NV6.19, khu chức năng đô thị Tây Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),20/06/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Zico-Vina-97759.html
